target,lag,pair
target_0,1,US_Stock_VT_adj_close
target_1,1,LME_PB_Close - US_Stock_VT_adj_close
target_2,1,LME_CA_Close - LME_ZS_Close
target_3,1,LME_AH_Close - LME_ZS_Close
target_4,1,LME_AH_Close - JPX_Gold_Standard_Futures_Close
target_5,1,LME_ZS_Close - JPX_Platinum_Standard_Futures_Close
target_6,1,LME_PB_Close - LME_AH_Close
target_7,1,LME_ZS_Close - US_Stock_VYM_adj_close
target_8,1,US_Stock_IEMG_adj_close - JPX_Gold_Standard_Futures_Close
target_9,1,FX_AUDJPY - LME_PB_Close
target_10,1,JPX_Platinum_Standard_Futures_Close - US_Stock_VGIT_adj_close
target_11,1,FX_EURAUD - LME_CA_Close
target_12,1,JPX_Platinum_Standard_Futures_Close - FX_CADCHF
target_13,1,LME_PB_Close - FX_ZARCHF
target_14,1,JPX_Platinum_Standard_Futures_Close - FX_NZDJPY
target_15,1,FX_CHFJPY - LME_AH_Close
target_16,1,US_Stock_VTV_adj_close - LME_ZS_Close
target_17,1,US_Stock_OIH_adj_close - JPX_Gold_Standard_Futures_Close
target_18,1,LME_AH_Close - FX_ZARUSD
target_19,1,JPX_Gold_Standard_Futures_Close - FX_USDJPY
target_20,1,LME_ZS_Close - FX_AUDCHF
target_21,1,LME_AH_Close - US_Stock_SLV_adj_close
target_22,1,US_Stock_BKR_adj_close - JPX_Platinum_Standard_Futures_Close
target_23,1,FX_GBPJPY - LME_CA_Close
target_24,1,US_Stock_URA_adj_close - JPX_Platinum_Standard_Futures_Close
target_25,1,LME_AH_Close - US_Stock_VEA_adj_close
target_26,1,FX_ZARJPY - LME_CA_Close
target_27,1,US_Stock_OKE_adj_close - LME_ZS_Close
target_28,1,US_Stock_CVX_adj_close - LME_ZS_Close
target_29,1,FX_CADUSD - LME_AH_Close
target_30,1,LME_ZS_Close - US_Stock_CCJ_adj_close
target_31,1,LME_ZS_Close - US_Stock_GLD_adj_close
target_32,1,LME_ZS_Close - US_Stock_FCX_adj_close
target_33,1,JPX_Gold_Standard_Futures_Close - US_Stock_EWY_adj_close
target_34,1,FX_AUDCAD - JPX_Platinum_Standard_Futures_Close
target_35,1,US_Stock_VWO_adj_close - JPX_Gold_Standard_Futures_Close
target_36,1,LME_PB_Close - FX_NOKUSD
target_37,1,LME_CA_Close - US_Stock_VGK_adj_close
target_38,1,US_Stock_RIO_adj_close - JPX_Platinum_Standard_Futures_Close
target_39,1,FX_EURCAD - LME_AH_Close
target_40,1,LME_CA_Close - US_Stock_HL_adj_close
target_41,1,LME_ZS_Close - US_Stock_TECK_adj_close
target_42,1,US_Stock_ALB_adj_close - LME_AH_Close
target_43,1,FX_ZARGBP - LME_AH_Close
target_44,1,JPX_Gold_Standard_Futures_Close - FX_NOKGBP
target_45,1,LME_CA_Close - FX_NOKEUR
target_46,1,US_Stock_EEM_adj_close - LME_PB_Close
target_47,1,US_Stock_DE_adj_close - LME_CA_Close
target_48,1,LME_CA_Close - US_Stock_EWZ_adj_close
