Date,FX_EURGBP,FX_GBPAUD,FX_GBPCAD,FX_GBPCHF,FX_GBPJPY,FX_GBPNZD,FX_GBPUSD,FX_NOKGBP,FX_ZARGBP,US_Stock_BKR_adj_close,US_Stock_BKR_adj_high,US_Stock_BKR_adj_low,US_Stock_BKR_adj_open,US_Stock_BKR_adj_volume,US_Stock_BP_adj_close,US_Stock_BP_adj_high,US_Stock_BP_adj_low,US_Stock_BP_adj_open,US_Stock_BP_adj_volume,US_Stock_CAT_adj_close,US_Stock_CAT_adj_high,US_Stock_CAT_adj_low,US_Stock_CAT_adj_open,US_Stock_CAT_adj_volume,US_Stock_COP_adj_close,US_Stock_COP_adj_high,US_Stock_COP_adj_low,US_Stock_COP_adj_open,US_Stock_COP_adj_volume,US_Stock_CVX_adj_close,US_Stock_CVX_adj_high,US_Stock_CVX_adj_low,US_Stock_CVX_adj_open,US_Stock_CVX_adj_volume,US_Stock_DE_adj_close,US_Stock_DE_adj_high,US_Stock_DE_adj_low,US_Stock_DE_adj_open,US_Stock_DE_adj_volume,US_Stock_DVN_adj_close,US_Stock_DVN_adj_high,US_Stock_DVN_adj_low,US_Stock_DVN_adj_open,US_Stock_DVN_adj_volume,US_Stock_HAL_adj_close,US_Stock_HAL_adj_high,US_Stock_HAL_adj_low,US_Stock_HAL_adj_open,US_Stock_HAL_adj_volume,US_Stock_KMI_adj_close,US_Stock_KMI_adj_high,US_Stock_KMI_adj_low,US_Stock_KMI_adj_open,US_Stock_KMI_adj_volume,US_Stock_MPC_adj_close,US_Stock_MPC_adj_high,US_Stock_MPC_adj_low,US_Stock_MPC_adj_open,US_Stock_MPC_adj_volume,US_Stock_XOM_adj_close,US_Stock_XOM_adj_high,US_Stock_XOM_adj_low,US_Stock_XOM_adj_open,US_Stock_XOM_adj_volume
1867,,,,,,,,,,41.437978832519995,42.58431520366574,41.21441091498148,42.06166815374326,6858530.385032703,31.856584557157024,32.067753843768024,31.683543545119466,31.820550024082728,9080871.753678849,331.7713010817386,338.7954820531405,329.53012451057805,333.92269842726057,2437246.9842898734,95.39428845620165,98.710272282762,95.44364477806835,96.14606945772054,10245297.241769621,151.74826632868775,152.5323325923913,150.07380237525973,150.4243760318293,9037383.894936046,465.3516125773691,479.1640362294086,464.43526978002524,471.827060887741,1427282.64972235,33.51642223977364,34.26761657160592,33.068833997299656,34.141345204973256,9676560.470378248,24.318187876672734,25.245678943331644,24.1788355108885,24.74849760593413,10811104.098586213,26.261946736712662,26.472223082813013,26.058795720013073,26.31141560459124,12765799.426639007,136.40341084803813,139.41362666105266,135.14974746785614,136.3168512145411,2493471.3232054426,107.67292686058252,109.95632032713283,106.62043202212227,107.62529933168678,17644822.335837614
1868,,,,,,,,,,41.4357125905583,42.59512168890837,41.21062027098484,42.061766828591374,6926331.962391134,31.856624485045238,32.06290196441013,31.66140011786149,31.773458178343343,9847139.811285257,331.721740044589,338.6597068806271,329.74069021971235,334.41158008758106,2478572.976411214,95.39412319195824,98.73069567963452,95.45543621225414,96.14676116071165,10017923.966765814,151.7484549041765,152.52799767729343,150.07269117630162,150.42432502443376,9004739.628046582,465.3486616459029,479.4861944504686,464.657439939458,471.82420506521936,1422248.521670618,33.5152394177197,34.260621695114914,33.11428929665377,34.141217928196575,9866539.572643997,24.3169020152564,25.248818982048927,24.17630002759048,24.690804866354554,11043766.198382592,26.263273659375884,26.46859172401836,26.059036911581394,26.311294087243674,13374799.699075313,136.3059961981159,139.39097332566175,135.17115179218948,136.3271086435554,2614932.5006141304,107.67286352002263,109.93724283202762,106.63872915484399,107.50446150924,17813772.285214297
1869,,,,,,,,,,41.43558677709078,42.59324071111357,41.210218780365516,42.061768311005764,7117613.094684262,31.856625101876734,32.06619260564677,31.680013078588896,31.79607560119868,10275079.929050665,331.7637272408997,338.73934597662605,329.6601600858523,333.93078241783996,2489851.7375233998,95.39412490020761,98.73302759564393,95.4566458184885,96.14674761851849,9861834.123735147,151.74845221703745,152.52751912548544,150.07262256929695,150.42432471187198,8996869.88352505,465.34858402582466,479.6776871795564,464.7986141485328,471.82407810639336,1433219.7875340437,33.51519775121181,34.25991853491925,33.12704843919735,34.14121420830212,9909193.845281245,24.316826211559658,25.249202948126452,24.176054325275132,24.747703813705407,11110287.749485211,26.263756353892827,26.46792830289669,26.059067598271533,26.31128858639022,13805868.339215862,136.3708457161851,139.38100071059344,135.1733948804636,136.3265541480432,2685521.47494299,107.67286277334063,109.9288194292186,106.62376199654,107.5576900974525,17851963.475123156
1870,,,,,,,,,,41.43557979238709,42.59356811427798,41.21017625600355,42.06176833327641,7178644.500205704,31.85662511140594,32.063960827205975,31.664367699804313,31.786907256936075,10489910.932393717,331.7281564628163,338.6743616273042,329.69095855957426,334.4036297712811,2498079.0325335776,95.39412488255034,98.7332938506802,95.45676990409328,96.14674788364817,9797790.493947694,151.74845225532832,152.52746629588492,150.0726183334029,150.42432470995666,8993051.307195581,465.3485819841383,479.8168280596834,464.90762020183723,471.8240724622949,1436139.2828286923,33.51519628345267,34.25984784971682,33.12539302149529,34.14121409958146,9942450.128257094,24.31682174280403,25.249249899760482,24.17603051536567,24.69158773682593,11129307.24928759,26.26384527274682,26.467807100996918,26.05907150252473,26.311288337377306,14000309.525196198,136.32791600881424,139.38037744373236,135.17362994721586,136.32658412292994,2711540.1683067936,107.67286276453846,109.92898890689506,106.63600521689062,107.53385954285416,17871270.957485717
1871,0.8388655410526603,2.043832422343173,1.8625880263017303,1.1404214663876535,193.1935560986656,2.234518373972105,1.300900374622323,0.07282043396147644,0.04245950875846988,41.435579404621876,42.59351112645369,41.21017175198459,42.06176833361099,7225244.8989524,31.856625111553154,32.06547446380462,31.677518636987173,31.79042496957213,10600220.766836781,331.75829136975545,338.72524901761346,329.6791797888441,333.93860127025556,2502340.458981197,95.39412488273285,98.73332425132244,95.45678263322519,96.14674787845745,9766446.117860792,151.74845225478268,152.52746046377513,150.07261807187277,150.42432470994493,8991621.816014038,465.34858193043465,479.924117417927,464.99625867259005,471.8240722113801,1438290.0849833486,33.51519623174887,34.25984074408446,33.1243453161635,34.1412140964039,9957151.638444267,24.31682147936336,25.24925564103834,24.176028208054127,24.746931714719327,11134745.206862792,26.26387742551315,26.467784958348712,26.059071999261032,26.311288326104975,14104806.351416057,136.35634962784465,139.38062700034064,135.17365458127892,136.32658250254923,2722800.8376371274,107.6728627644347,109.92939176377052,106.62599019322951,107.54460770480046,17878470.00627219
1872,0.8389772433333244,2.043812952616264,1.8624698111113447,1.1404224298861076,193.1935400534561,2.2345847635282565,1.3008193099871508,0.07282038688083568,0.04248590947296233,41.43557938309457,42.59352104575952,41.210171274936,42.061768333616016,7247231.382854791,31.856625111555427,32.06444788530969,31.66646443681927,31.789102935109636,10656582.73429974,331.73276163256213,338.6852205759807,329.6836845393446,334.3959402089052,2504767.704387976,95.39412488273096,98.73332772242692,95.45678393902371,96.14674787855907,9752102.034849301,151.74845225479046,152.5274598199409,150.0726180557255,150.42432470994484,8991040.334693085,465.34858192902203,480.00808385361154,465.0691874851277,471.8240722002254,1439298.3805483659,33.51519622992753,34.259840029790524,33.124340693095824,34.14121409631103,9965183.664569886,24.316821463833087,25.24925634308571,24.176027984462912,24.692349212531166,11136299.99972785,26.263883383653095,26.467780913058412,26.059072062460558,26.3112883255947,14156968.061873129,136.33751808751876,139.38068272514636,135.173657162831,136.3265825901437,2727381.193436213,107.67286276443348,109.92941792833912,106.6341825393656,107.53974394307049,17881429.17949146
1873,0.8388780853320887,2.0438488356626388,1.8624936287469234,1.1404223886885732,193.19354011465,2.234620058285245,1.3007388022423458,0.07282039198863177,0.042512202583841294,41.43557938189945,42.593519319204255,41.210171224408825,42.061768333616094,7260451.924425424,31.856625111555463,32.06514413129581,31.675756196003658,31.789595724715944,10685411.385257704,331.75438995490856,338.7166914980734,329.68196171295324,333.94616368049043,2506111.057421362,95.39412488273098,98.73332811875296,95.45678407297706,96.14674787855708,9745373.470734041,151.74845225479035,152.527459748865,150.07261805472857,150.42432470994484,8990810.37944564,465.34858192898486,480.07403051086874,465.1293451894962,471.82407219972947,1439858.35780518,33.51519622986337,34.2598399579861,33.12441107593095,34.14121409630832,9969202.726952123,24.316821462917552,25.249256428932544,24.17602796279569,24.746180716129608,11136744.538108263,26.26388552545954,26.46778017401521,26.059072070501404,26.3112883255716,14183804.276080102,136.34999024064393,139.38068206150592,135.17365743336742,136.32658258540852,2729288.107492898,107.67286276443346,109.92940155213513,106.62748115377886,107.5419481352825,17882605.549660735
1874,0.8389443766030071,2.0438485421544095,1.8624962585073865,1.1404223904501087,193.19354011441663,2.234606728207373,1.3006588475622345,0.07282039143448509,0.04253838852967587,41.4355793818331,42.59351961972862,41.21017121905718,42.061768333616094,7267436.541828201,31.856625111555463,32.064671923397846,31.66794588070004,31.789412645788065,10700153.5413872,331.7360668392423,338.69194724036805,329.68262060200254,334.38850284826424,2506860.8751755184,95.39412488273098,98.73332816400494,95.45678408671846,96.14674787855712,9742246.186682934,151.74845225479035,152.5274597410186,150.072618054667,150.42432470994484,8990718.581436953,465.3485819289839,480.1258678374791,465.1789958314737,471.8240721997074,1440148.5726981044,33.51519622986111,34.25983995076796,33.12441922469796,34.14121409630824,9971285.714266725,24.31682146286358,25.249256439429953,24.17602796069602,24.693089878159604,11136871.63823594,26.263885924665384,26.46778003899774,26.059072071524437,26.311288325570555,14197439.201999022,136.34172992105186,139.3806800903365,135.17365746171856,136.32658258566448,2730075.032591952,107.67286276443346,109.92939896380794,106.63296292518305,107.54094857342955,17883078.475337744
1875,0.8389021362734327,2.0438463672841993,1.8624951697667456,1.1404223903747885,193.19354011441752,2.2346064072926652,1.3005794421474233,0.07282039149460466,0.04256446774724764,41.43557938182942,42.59351956741932,41.21017121849035,42.061768333616094,7271383.227549058,31.856625111555463,32.06499218420127,31.67451094808194,31.78948057037293,10707692.646109367,331.75158984478753,338.7114024854907,329.6823686121436,333.95347805931755,2507278.343181069,95.39412488273098,98.73332816917176,95.4567840881281,96.14674787855712,9740787.712515133,151.74845225479035,152.52745974015238,150.0726180546632,150.42432470994484,8990682.051087558,465.3485819289839,480.16662253994514,465.2199794856777,471.82407219970645,1440303.155722688,33.51519622986103,34.259839950042355,33.12441536916361,34.14121409630824,9972349.975526916,24.316821462860396,25.249256440713584,24.176027960492547,24.74545024129163,11136907.97805083,26.26388606734364,26.467780014331098,26.059072071654597,26.31128832557051,14204402.682867626,136.3472007392483,139.38067983854734,135.17365746468965,136.32658258565064,2730400.8555642865,107.67286276443346,109.92939950088713,106.6284788050949,107.54140198755248,17883267.880998135
1876,0.8389287876305361,2.0438464748837912,1.8624951533172964,1.140422390378009,193.19354011441752,2.234607657477653,1.3005005822246205,0.07282039148808227,0.042590440671557976,41.435579381829214,42.59351957652428,41.21017121843032,42.061768333616094,7273535.652429786,31.856625111555463,32.06477497694435,31.668992590876954,31.789455383462172,10711548.084255658,331.7384390408769,338.6961057315031,329.6824649848016,334.38130941766315,2507510.947000348,95.39412488273098,98.73332816976169,95.45678408827271,96.14674787855712,9740108.38784287,151.74845225479035,152.52745974005677,150.07261805466297,150.42432470994484,8990667.498749595,465.3485819289839,480.19866552109636,465.2538099350034,471.8240721997064,1440384.5952163793,33.51519622986103,34.25983994996941,33.124414388493946,34.14121409630824,9972896.882069614,24.316821462860208,25.249256440870546,24.17602796047283,24.69381030242183,11136918.368143825,26.26388609408929,26.467780009824693,26.059072071671157,26.311288325570505,14207951.417904481,136.34357741071918,139.38067986998826,135.173657465001,136.32658258565138,2730535.5913837864,107.67286276443346,109.92939966558784,106.63214684075022,107.54119628687502,17883343.834758855
