num_leaves,learning_rate,n_estimators,min_data_in_leaf,feature_fraction,bagging_fraction,bagging_freq,RMSE_mean
128,0.08,1200,50,0.9,0.8,1,0.02719485450362234
64,0.05,400,50,0.9,0.8,1,0.02719485450362234
64,0.08,400,50,0.9,0.8,1,0.02719485450362234
64,0.03,1200,50,0.9,0.8,1,0.02719485450362234
64,0.08,800,50,0.9,0.8,1,0.02719485450362234
64,0.03,800,50,0.9,0.8,1,0.02719485450362234
64,0.08,1200,50,0.9,0.8,1,0.02719485450362234
64,0.03,400,50,0.9,0.8,1,0.02719485450362234
31,0.08,1200,50,0.9,0.8,1,0.02719485450362234
128,0.03,400,50,0.9,0.8,1,0.02719485450362234
31,0.08,800,50,0.9,0.8,1,0.02719485450362234
128,0.03,800,50,0.9,0.8,1,0.02719485450362234
64,0.05,1200,50,0.9,0.8,1,0.02719485450362234
31,0.08,400,50,0.9,0.8,1,0.02719485450362234
31,0.05,1200,50,0.9,0.8,1,0.02719485450362234
128,0.05,400,50,0.9,0.8,1,0.02719485450362234
31,0.05,800,50,0.9,0.8,1,0.02719485450362234
128,0.05,800,50,0.9,0.8,1,0.02719485450362234
31,0.05,400,50,0.9,0.8,1,0.02719485450362234
128,0.05,1200,50,0.9,0.8,1,0.02719485450362234
31,0.03,1200,50,0.9,0.8,1,0.02719485450362234
128,0.08,400,50,0.9,0.8,1,0.02719485450362234
31,0.03,800,50,0.9,0.8,1,0.02719485450362234
128,0.08,800,50,0.9,0.8,1,0.02719485450362234
31,0.03,400,50,0.9,0.8,1,0.02719485450362234
128,0.03,1200,50,0.9,0.8,1,0.02719485450362234
64,0.05,800,50,0.9,0.8,1,0.02719485450362234
128,0.03,400,20,0.9,0.8,1,0.029529923098511827
31,0.03,400,20,0.9,0.8,1,0.029529923098511827
64,0.03,400,20,0.9,0.8,1,0.029529923098511827
64,0.05,400,20,0.9,0.8,1,0.029906418582994452
31,0.05,400,20,0.9,0.8,1,0.029906418582994452
128,0.05,400,20,0.9,0.8,1,0.029906418582994452
31,0.03,800,20,0.9,0.8,1,0.029924792760499957
64,0.03,800,20,0.9,0.8,1,0.029924792760499957
128,0.03,800,20,0.9,0.8,1,0.029924792760499957
31,0.03,1200,20,0.9,0.8,1,0.030067032529590743
64,0.03,1200,20,0.9,0.8,1,0.030067032529590743
128,0.03,1200,20,0.9,0.8,1,0.030067032529590743
64,0.05,800,20,0.9,0.8,1,0.030151962436569053
31,0.05,800,20,0.9,0.8,1,0.030151962436569053
128,0.05,800,20,0.9,0.8,1,0.030151962436569053
128,0.08,400,20,0.9,0.8,1,0.03015910581353366
31,0.08,400,20,0.9,0.8,1,0.03015910581353366
64,0.08,400,20,0.9,0.8,1,0.03015910581353366
64,0.05,1200,20,0.9,0.8,1,0.03021951951284456
128,0.05,1200,20,0.9,0.8,1,0.03021951951284456
31,0.05,1200,20,0.9,0.8,1,0.03021951951284456
31,0.08,800,20,0.9,0.8,1,0.030294393166032486
64,0.08,800,20,0.9,0.8,1,0.030294393166032486
128,0.08,800,20,0.9,0.8,1,0.030294393166032486
31,0.08,1200,20,0.9,0.8,1,0.03031972771536481
64,0.08,1200,20,0.9,0.8,1,0.03031972771536481
128,0.08,1200,20,0.9,0.8,1,0.03031972771536481
