Date,FX_EURGBP,FX_GBPAUD,FX_GBPCAD,FX_GBPCHF,FX_GBPJPY,FX_GBPNZD,FX_GBPUSD,FX_NOKGBP,FX_ZARGBP,US_Stock_BKR_adj_close,US_Stock_BKR_adj_high,US_Stock_BKR_adj_low,US_Stock_BKR_adj_open,US_Stock_BKR_adj_volume,US_Stock_BP_adj_close,US_Stock_BP_adj_high,US_Stock_BP_adj_low,US_Stock_BP_adj_open,US_Stock_BP_adj_volume,US_Stock_CAT_adj_close,US_Stock_CAT_adj_high,US_Stock_CAT_adj_low,US_Stock_CAT_adj_open,US_Stock_CAT_adj_volume,US_Stock_COP_adj_close,US_Stock_COP_adj_high,US_Stock_COP_adj_low,US_Stock_COP_adj_open,US_Stock_COP_adj_volume,US_Stock_CVX_adj_close,US_Stock_CVX_adj_high,US_Stock_CVX_adj_low,US_Stock_CVX_adj_open,US_Stock_CVX_adj_volume,US_Stock_DE_adj_close,US_Stock_DE_adj_high,US_Stock_DE_adj_low,US_Stock_DE_adj_open,US_Stock_DE_adj_volume,US_Stock_DVN_adj_close,US_Stock_DVN_adj_high,US_Stock_DVN_adj_low,US_Stock_DVN_adj_open,US_Stock_DVN_adj_volume,US_Stock_HAL_adj_close,US_Stock_HAL_adj_high,US_Stock_HAL_adj_low,US_Stock_HAL_adj_open,US_Stock_HAL_adj_volume,US_Stock_KMI_adj_close,US_Stock_KMI_adj_high,US_Stock_KMI_adj_low,US_Stock_KMI_adj_open,US_Stock_KMI_adj_volume,US_Stock_MPC_adj_close,US_Stock_MPC_adj_high,US_Stock_MPC_adj_low,US_Stock_MPC_adj_open,US_Stock_MPC_adj_volume,US_Stock_XOM_adj_close,US_Stock_XOM_adj_high,US_Stock_XOM_adj_low,US_Stock_XOM_adj_open,US_Stock_XOM_adj_volume
1867,,,,,,,,,,41.4788,42.6464,41.2502,42.0551,5773559.0,31.854,32.0606,31.6572,31.7851,6948552.0,331.7128,339.0177,330.0807,334.4198,2490395.0,95.3783,98.5314,95.3287,96.1814,11354768.0,151.7615,152.5716,150.0918,150.4327,9022758.0,465.4638,478.3289,463.8793,471.8913,1314662.0,33.55,34.3372,33.1826,34.1457,9821128.0,24.34,25.22,24.205,24.69,9997358.0,26.2547,26.4921,26.0569,26.3141,10449196.0,136.2481,139.2113,134.9455,136.5066,1885377.0,107.6783,109.8086,106.6428,107.3414,17767836.0
1868,,,,,,,,,,42.5719,42.7011,41.6477,41.9558,4683613.0,32.8577,32.9315,32.1492,32.2279,12619575.0,338.0125,340.3512,335.3354,336.1017,1936119.0,98.115,98.7992,95.408,96.1219,7626002.0,155.1305,155.3478,151.1687,152.1369,6671549.0,475.8376,479.6443,468.8121,470.2272,1018178.0,34.55,34.58,33.44,33.61,8375810.0,25.07,25.145,24.41,24.6,10480442.0,26.8087,26.9076,26.3536,26.5317,8635014.0,140.3548,140.852,136.2444,136.5563,1708284.0,110.8788,111.1562,107.3216,107.9458,15890063.0
1869,,,,,,,,,,43.6054,43.7992,42.7905,42.8303,5451463.0,33.2218,33.2661,32.8282,32.8774,10810798.0,340.9981,342.7124,337.3771,338.112,1684083.0,98.5215,99.6717,98.1844,98.4124,8031086.0,156.81,157.5312,154.8785,155.328,7615153.0,480.6707,484.3877,473.8545,475.6682,893001.0,35.11,35.38,34.63,34.63,7566962.0,25.22,25.39,25.07,25.16,8335023.0,27.4913,27.5754,26.6801,26.7493,10623719.0,145.3366,146.2713,140.852,140.8918,2324027.0,112.7218,113.4501,110.7103,110.7797,19908789.0
1870,,,,,,,,,,43.4265,43.983,43.0986,43.7246,5013705.0,33.6745,33.6825,33.3021,33.5662,10244239.0,335.0965,340.3612,333.7431,340.3612,3310243.0,99.6816,100.0783,97.8968,99.6122,7861631.0,158.8748,159.1515,156.9137,157.8177,9289469.0,479.4948,484.3478,477.2725,480.4514,931744.0,35.37,35.91,34.82,35.66,7292660.0,25.0,25.48,24.625,25.38,12605506.0,27.2242,27.6199,27.1648,27.5012,12056545.0,145.1775,147.8822,143.8749,146.8182,2797877.0,112.6029,113.4947,111.5427,113.0488,15998713.0
1871,0.838703,2.044408,1.862987,1.140444,193.189349,2.235074,1.300982,0.07282,0.042433,44.3209,44.7879,43.3768,43.3967,6839886.0,34.0583,34.1075,33.458,33.6942,14017926.0,336.9974,340.3612,335.0567,335.3155,2407288.0,100.4749,101.7887,99.4238,99.6519,8784655.0,162.0759,162.56,158.9638,159.028,11503859.0,477.7409,481.139,475.5187,477.0932,841944.0,36.05,36.451,35.25,35.28,10658216.0,25.08,25.43,25.03,25.09,9792245.0,27.5506,27.6397,27.1648,27.3429,11477999.0,148.7274,149.7615,144.9289,145.6846,3591362.0,114.3568,114.7581,112.7912,113.1578,17315001.0
1872,0.837219,2.057147,1.857393,1.143032,192.694292,2.250844,1.296723,0.073108,0.042483,44.4103,44.7184,43.8042,44.3407,6101968.0,34.196,34.3928,33.8368,33.9205,21305647.0,334.6387,338.1515,332.0114,332.9668,2782873.0,101.4466,101.7639,99.989,100.2964,11577818.0,162.7872,163.3207,160.4556,161.1669,9545886.0,475.3592,478.867,466.4603,474.3428,1153437.0,36.13,36.335,35.55,35.75,6915751.0,24.99,25.34,24.72,24.89,16371521.0,27.7584,27.8622,27.422,27.4715,8205546.0,151.094,151.2232,146.848,147.1961,3638827.0,114.8423,115.4071,113.1702,113.6731,16230772.0
1873,0.841892,2.059583,1.863388,1.1421,192.929242,2.254406,1.292,0.073216,0.042451,43.8339,44.4004,43.4116,43.9234,20139231.0,33.9992,34.3338,33.832,34.0779,40923610.0,334.171,334.3402,327.6325,329.6229,6766101.0,101.0599,102.0911,100.4848,101.5458,55090759.0,162.7674,162.9008,161.1472,162.5106,21625460.0,470.7852,474.0438,466.6721,471.9511,1685211.0,36.15,36.28,35.7709,35.97,12728244.0,24.74,25.005,24.515,24.82,56967314.0,27.6298,27.7781,27.4616,27.6891,19506438.0,149.1152,151.1934,147.0071,150.2388,6814264.0,114.4459,114.9315,113.3064,114.4459,41102795.0
1874,0.835932,2.056107,1.850223,1.14084,194.879071,2.256727,1.292349,0.073533,0.04239,44.3209,44.8972,44.1519,44.5196,9529018.0,33.5662,34.1075,33.4186,33.8713,10093051.0,340.0328,341.5057,337.6642,338.9181,2277496.0,101.3276,102.0614,100.7129,101.169,6768289.0,163.0342,164.4272,162.3377,162.7082,8068002.0,478.289,481.5476,472.5092,474.9806,903919.0,36.96,37.2,36.12,36.25,5722202.0,25.6,25.68,24.95,25.11,16666643.0,28.4014,28.4805,27.7584,27.7781,12508517.0,147.8424,152.5855,146.7287,150.2885,3087676.0,114.7432,115.8431,114.5252,114.6243,14207469.0
1875,0.833455,2.05208,1.847602,1.142464,194.075498,2.257853,1.294247,0.073429,0.042264,44.8972,44.937,44.4202,44.5643,7541334.0,33.7434,34.3781,33.6942,34.196,10231035.0,340.9782,343.1577,339.1968,341.9336,1678009.0,101.6846,102.4778,100.5641,101.7143,6556474.0,163.9431,165.8005,163.1231,164.0814,7869159.0,477.2626,480.4813,475.4888,480.0329,808229.0,36.97,37.77,36.83,37.26,5934061.0,25.69,26.07,25.54,25.76,9032639.0,28.5201,28.8169,28.342,28.5201,11393868.0,148.2501,150.5073,147.5739,148.7373,3562062.0,115.526,116.5615,114.9045,115.3674,12081795.0
1876,0.834146,2.048405,1.840895,1.138649,193.771931,2.251994,1.287722,0.073424,0.042471,43.7445,45.0761,43.5706,44.9668,5953036.0,33.8713,34.2797,33.7532,34.0878,10731550.0,339.4755,345.6059,337.1666,341.7147,1705089.0,102.3291,103.985,101.7441,102.7753,7170916.0,165.9487,166.9268,165.2374,165.3559,10077764.0,481.9363,483.2018,475.5187,479.7937,811268.0,37.47,37.85,37.2,37.42,7510443.0,25.7,26.24,25.64,25.96,8554116.0,28.1738,28.7773,28.0452,28.7179,11928476.0,148.966,153.0183,148.5086,150.0698,1981201.0,117.1907,118.0924,116.606,116.606,14112756.0
